Código,Fecha Depósito,Nombre entidad que deposita,Texto depositado,Pólizas/Cláusulas,Temas,Res. Autoriza,Res. Prohibición
POL120240060,09/04/2024,COMPAÑIA DE SEGUROS DE CREDITO CONTINENTAL S.A.,PÓLIZA DE GARANTÍA PARA VENTAS DE INMUEBLES,,"- Garantías y Fidelidad
", - , - 
POL120240059,09/04/2024,COMPAÑIA DE SEGUROS DE CREDITO CONTINENTAL S.A.,"POLIZA DE GARANTIA A FAVOR DE ADUANAS
(Agente de Aduanas)
",,"- Garantías y Fidelidad
", - , - 
CAD120240058,08/04/2024,ASSURANT CHILE COMPAÑIA DE SEGUROS GENERALES S.A.,CLÁUSULA ADICIONAL DE HURTO PARA DISPOSITIVOS ELECTRONICOS,"POL120230365
","- Otro tema
", - , - 
CAD120240057,08/04/2024,ASSURANT CHILE COMPAÑIA DE SEGUROS GENERALES S.A.,CLÁUSULA ADICIONAL DE ROBO PARA DISPOSITIVOS ELECTRONICOS,"POL120230365
","- Robo
", - , - 
POL320240056,05/04/2024,BNP PARIBAS CARDIF SEGUROS GENERALES S.A.,PÓLIZA DE SEGURO ONCOLÓGICO ,,"- Salud
", - , - 
POL120240055,02/04/2024,HDI SEGUROS S.A.,PÓLIZA DE SEGURO A PRIMER REQUERIMIENTO PARA EMPRESAS DE SERVICIOS TRANSITORIOS,,"- Garantías y Fidelidad
", - , - 
POL120240054,02/04/2024,HDI SEGUROS S.A.,PÓLIZA DE SEGURO A PRIMER REQUERIMIENTO PARA SERVICIO NACIONAL DE ADUANAS,,"- Garantías y Fidelidad
", - , - 
POL120240053,02/04/2024,HDI SEGUROS S.A.,PÓLIZA DE SEGURO DE GARANTIA A PRIMER REQUERIMIENTO,,"- Garantías y Fidelidad
", - , - 
POL120240052,02/04/2024,HDI SEGUROS S.A.,"POLIZA DE SEGURO DE CAUCIÓN A PRIMER REQUERIMIENTO PARA LICITACIONES, PROPUESTAS O SUBASTAS PÚBLICAS O PRIVADAS",,"- Garantías y Fidelidad
", - , - 
POL120240051,02/04/2024,HDI SEGUROS S.A.,POLIZA DE SEGURO DE CAUCIÓN DE CUMPLIMIENTO DE CONTRATO EN GENERAL CON PAGO DE INDEMNIZACIÓN SUJETO A LIQUIDACIÓN,,"- Garantías y Fidelidad
", - , - 
POL120240050,02/04/2024,HDI SEGUROS S.A.,PÓLIZA DE SEGURO A PRIMER REQUERIMIENTO ESPECIAL PARA ALMACENES PARTICULARES,,"- Garantías y Fidelidad
", - , - 
POL120240049,02/04/2024,HDI SEGUROS S.A.,PÓLIZA DE GARANTÍA A FAVOR DE ADUANAS,,"- Garantías y Fidelidad
", - , - 
POL120240048,02/04/2024,HDI SEGUROS S.A.,PÓLIZA DE SEGURO DE GARANTÍA A PRIMER REQUERIMIENTO PARA ADMINISTRADORAS DE FONDOS,,"- Garantías y Fidelidad
", - , - 
POL220240047,01/04/2024,SEGUROS DE VIDA SURA S.A.,SEGURO GARANTIZADO INCREMENTAL,,"- Vida
", - , - 
POL120240046,25/03/2024,ASOCIACION DE ASEGURADORES DE CHILE A.G.,PÓLIZA DE CAUCIÓN DE CUMPLIMIENTO DE CONTRATO EN GENERAL CON PAGO DE INDEMNIZACIÓN SUJETO A LIQUIDACIÓN,,"- Garantías y Fidelidad
", - , - 
POL120240045,25/03/2024,ASOCIACION DE ASEGURADORES DE CHILE A.G.,PÓLIZA DE GARANTÍA A PRIMER REQUERIMIENTO Y A LA VISTA,,"- Garantías y Fidelidad
", - , - 
POL120240044,25/03/2024,ASOCIACION DE ASEGURADORES DE CHILE A.G.,PÓLIZA DE GARANTÍA A PRIMER REQUERIMIENTO,,"- Garantías y Fidelidad
", - , - 
POL120240043,25/03/2024,ASOCIACION DE ASEGURADORES DE CHILE A.G.,SEGURO DE GARANTÍA A PRIMER REQUERIMIENTO SERVICIO NACIONAL DE ADUANAS,,"- Garantías y Fidelidad
", - , - 
POL120240042,25/03/2024,ASOCIACION DE ASEGURADORES DE CHILE A.G.,PÓLIZA DE SEGURO DE GARANTÍA O CAUCIÓN A PRIMER REQUERIMIENTO DE OBRAS PÚBLICAS,,"- Garantías y Fidelidad
", - , - 
CAD320240041,20/03/2024,BUPA COMPAÑIA DE SEGUROS DE VIDA S.A.,COBERTURA DE ODONTOLOGÍA,"POL320190016
","- Salud
", - , - 
POL120240040,19/03/2024,VALLE CENTRAL PRODUCTORA DE SEGUROS SPA,POLIZAS GARANTIA Y RESPONDABILIDAD CIVIL,,"- Incendio
- MODELO PROHIBIDO
", - ,4406 del 14/05/2024
POL120240039,19/03/2024,VALLE CENTRAL PRODUCTORA DE SEGUROS SPA,POLIZAS DE GARANTIA Y RESPONSABILIDAD CIVIL,,"- MODELO PROHIBIDO
- Otro tema
", - ,4406 del 14/05/2024
POL120240038,19/03/2024,AVLA SEGUROS DE CREDITO Y GARANTIA S.A.,"PÓLIZA DE SEGURO DE GARANTÍA O CAUCIÓN A PRIMER REQUERIMIENTO DE OBRAS PÚBLICAS 
",,"- Garantías y Fidelidad
", - , - 
POL120240037,19/03/2024,AVLA SEGUROS DE CREDITO Y GARANTIA S.A.,"PÓLIZA DE SEGURO DE CAUCIÓN PARA CONTRATOS DE PROMESA DE COMPRAVENTA, CON PAGO DE INDEMNIZACIÓN SUJETO A LIQUIDACIÓN",,"- Garantías y Fidelidad
", - , - 
POL120240036,18/03/2024,AVLA SEGUROS DE CREDITO Y GARANTIA S.A.,"PÓLIZA DE SEGURO DE CAUCIÓN PARA ADMINISTRADORAS GENERALES DE FONDOS 
",,"- Garantías y Fidelidad
", - , - 
POL120240035,18/03/2024,AVLA SEGUROS DE CREDITO Y GARANTIA S.A.,"PÓLIZA DE SEGURO DE GARANTÍA A PRIMER REQUERIMIENTO PARA CONCESIONES DE OBRAS PÚBLICAS 
",,"- Garantías y Fidelidad
", - , - 
POL120240034,18/03/2024,AVLA SEGUROS DE CREDITO Y GARANTIA S.A.,PÓLIZA DE GARANTÍA DE CUMPLIMIENTO DE CONTRATO EN GENERAL Y DE EJECUCIÓN INMEDIATA,,"- Garantías y Fidelidad
", - , - 
POL120240033,18/03/2024,AVLA SEGUROS DE CREDITO Y GARANTIA S.A.,PÓLIZA DE GARANTÍA A PRIMER REQUERIMIENTO Y A LA VISTA,,"- Garantías y Fidelidad
", - , - 
POL120240032,14/03/2024,COMPAÑIA DE SEGUROS GENERALES CONSORCIO NACIONAL DE SEGUROS S.A.,"PÓLIZA DE SEGURO COLECTIVO DE DAÑOS, ROBO Y HURTO",,"- Otro tema
- Robo
", - , - 
